Month,Campaign,Views,Spend,Cost_per_View,CTR
2025-09,All Campaigns,10885,478.17,,
2025-09,Maia TOF,2514,149.53,0.06,2.63
2025-09,Portugal TOF,5058,193.46,0.04,4.03
2025-09,Remarketing,3313,135.18,0.04,3.95

2025-10,All Campaigns,12976,495.02,,
2025-10,Maia TOF,2566,154.76,0.06,2.70
2025-10,Portugal TOF,7042,201.02,0.03,4.67
2025-10,Remarketing,3368,139.24,0.04,3.82

2025-11,All Campaigns,13531,480.66,,
2025-11,Maia TOF,2899,149.76,0.05,2.98
2025-11,Portugal TOF,7245,195.46,0.03,4.29
2025-11,Remarketing,5587,135.44,0.02,4.19
